country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",14-12-2025 23:00,28.5918245,77.2273074,NO2,NA,NA,NA
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",14-12-2025 23:00,28.5918245,77.2273074,CO,57,102,74
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",14-12-2025 23:00,23.016834,72.625775,OZONE,1,84,35
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",14-12-2025 23:00,23.041137,72.456691,PM10,89,184,124
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",14-12-2025 23:00,23.041137,72.456691,CO,2,30,7
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",14-12-2025 23:00,23.023389,72.515201,PM10,66,108,84
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",14-12-2025 23:00,23.023389,72.515201,NO2,13,74,35
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",14-12-2025 23:00,23.023389,72.515201,CO,2,92,38
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",14-12-2025 23:00,23.076793,72.627874,PM10,83,198,122
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",14-12-2025 23:00,23.076793,72.627874,SO2,5,11,7
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",14-12-2025 23:00,28.570173,76.933762,PM10,150,500,342
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",14-12-2025 23:00,28.570173,76.933762,SO2,20,63,31
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",14-12-2025 23:00,28.570173,76.933762,CO,78,124,106
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",14-12-2025 23:00,28.56789,77.250515,PM2.5,462,500,493
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",14-12-2025 23:00,28.56789,77.250515,NH3,18,47,36
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",14-12-2025 23:00,28.56789,77.250515,OZONE,2,227,60
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",14-12-2025 23:00,28.6573814,77.1585447,PM2.5,442,500,480
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",14-12-2025 23:00,28.6573814,77.1585447,OZONE,15,112,42
